Closing_Spread,Game_Count,Win_Record,Win_PCT,Average_MOV,Cover Record,Cover_PCT
23,1,0-1-0,0.00 ,-11,1-0-0,100.00 
22.5,1,0-1-0,0.00 ,-26,0-1-0,0.00 
22,1,0-1-0,0.00 ,-12,1-0-0,100.00 
21.5,1,0-1-0,0.00 ,-26,0-1-0,0.00 
21,2,0-2-0,0.00 ,-25,1/1/2000,50.00 
20.5,3,0-3-0,0.00 ,-29,1/2/2000,33.30 
20,2,0-2-0,0.00 ,-11.5,2-0-0,100.00 
19.5,7,0-7-0,0.00 ,-36.71,0-7-0,0.00 
19,12,1/11/2000,8.30 ,-20,6/6/2000,50.00 
18.5,12,1/11/2000,8.30 ,-16.75,8/4/2000,66.70 
18,25,0-25-0,0.00 ,-16.36,16-7-2,69.60 
17.5,28,2/26/2000,7.10 ,-20.43,12/16/2000,42.90 
17,50,2-48-0,4.00 ,-16.64,27-21-2,56.30 
16.5,60,3-57-0,5.00 ,-17.1,30-30-0,50.00 
16,74,5-69-0,6.80 ,-14.86,43-27-4,61.40 
15.5,113,5-108-0,4.40 ,-18.7,50-63-0,44.20 
15,142,6-136-0,4.20 ,-17.3,63-74-5,46.00 
14.5,158,13-145-0,8.20 ,-13.07,93-65-0,58.90 
14,226,20-206-0,8.80 ,-14.49,109-104-13,51.20 
13.5,288,31-257-0,10.80 ,-13.83,151-137-0,52.40 
13,314,31-283-0,9.90 ,-12.84,154-149-11,50.80 
12.5,324,35-289-0,10.80 ,-12.49,159-165-0,49.10 
12,387,61-326-0,15.80 ,-11.31,205-169-13,54.80 
11.5,497,77-420-0,15.50 ,-10.81,268-229-0,53.90 
11,535,75-460-0,14.00 ,-11.35,262-252-21,51.00 
10.5,597,83-514-0,13.90 ,-11.53,293-304-0,49.10 
10,676,132-544-0,19.50 ,-9.84,331-315-30,51.20 
9.5,822,170-652-0,20.70 ,-9.51,406-416-0,49.40 
9,878,161-717-0,18.30 ,-9.62,401-441-36,47.60 
8.5,983,213-770-0,21.70 ,-8.64,477-506-0,48.50 
8,1016,249-767-0,24.50 ,-7.74,496-493-27,50.20 
7.5,1232,325-907-0,26.40 ,-7.12,623-609-0,50.60 
7,1215,341-874-0,28.10 ,-6.56,576-584-55,49.70 
6.5,1453,420-1033-0,28.90 ,-5.91,722-731-0,49.70 
6,1385,405-980-0,29.20 ,-5.45,655-670-60,49.40 
5.5,1457,498-959-0,34.20 ,-4.55,722-735-0,49.60 
5,1477,502-975-0,34.00 ,-4.66,681-729-67,48.30 
4.5,1642,568-1074-0,34.60 ,-4.1,784-858-0,47.70 
4,1480,604-876-0,40.80 ,-3.01,750-692-38,52.00 
3.5,1576,632-944-0,40.10 ,-2.71,782-794-0,49.60 
3,1517,654-863-0,43.10 ,-1.96,749-711-57,51.30 
2.5,1555,681-874-0,43.80 ,-1.59,768-787-0,49.40 
2,1481,682-799-0,46.00 ,-1.25,718-726-37,49.70 
1.5,1185,549-636-0,46.30 ,-1.45,573-612-0,48.40 
1,1236,607-629-0,49.10 ,-0.32,607-593-36,50.60 
0,314,157-157-0,50.00 ,0,157-157-0,50.00 
-1,1236,629-607-0,50.90 ,0.32,593-607-36,49.40 
-1.5,1185,636-549-0,53.70 ,1.45,612-573-0,51.60 
-2,1481,799-682-0,54.00 ,1.25,726-718-37,50.30 
-2.5,1555,874-681-0,56.20 ,1.59,787-768-0,50.60 
-3,1517,863-654-0,56.90 ,1.96,711-749-57,48.70 
-3.5,1576,944-632-0,59.90 ,2.71,794-782-0,50.40 
-4,1480,876-604-0,59.20 ,3.01,692-750-38,48.00 
-4.5,1642,1074-568-0,65.40 ,4.1,858-784-0,52.30 
-5,1477,975-502-0,66.00 ,4.66,729-681-67,51.70 
-5.5,1457,959-498-0,65.80 ,4.55,735-722-0,50.40 
-6,1385,980-405-0,70.80 ,5.45,670-655-60,50.60 
-6.5,1453,1033-420-0,71.10 ,5.91,731-722-0,50.30 
-7,1215,874-341-0,71.90 ,6.56,584-576-55,50.30 
-7.5,1232,907-325-0,73.60 ,7.12,609-623-0,49.40 
-8,1016,767-249-0,75.50 ,7.74,493-496-27,49.80 
-8.5,983,770-213-0,78.30 ,8.64,506-477-0,51.50 
-9,878,717-161-0,81.70 ,9.62,441-401-36,52.40 
-9.5,822,652-170-0,79.30 ,9.51,416-406-0,50.60 
-10,676,544-132-0,80.50 ,9.84,315-331-30,48.80 
-10.5,597,514-83-0,86.10 ,11.53,304-293-0,50.90 
-11,535,460-75-0,86.00 ,11.35,252-262-21,49.00 
-11.5,497,420-77-0,84.50 ,10.81,229-268-0,46.10 
-12,387,326-61-0,84.20 ,11.31,169-205-13,45.20 
-12.5,324,289-35-0,89.20 ,12.49,165-159-0,50.90 
-13,314,283-31-0,90.10 ,12.84,149-154-11,49.20 
-13.5,288,257-31-0,89.20 ,13.83,137-151-0,47.60 
-14,226,206-20-0,91.20 ,14.49,104-109-13,48.80 
-14.5,158,145-13-0,91.80 ,13.07,65-93-0,41.10 
-15,142,136-6-0,95.80 ,17.3,74-63-5,54.00 
-15.5,113,108-5-0,95.60 ,18.7,63-50-0,55.80 
-16,74,69-5-0,93.20 ,14.86,27-43-4,38.60 
-16.5,60,57-3-0,95.00 ,17.1,30-30-0,50.00 
-17,50,48-2-0,96.00 ,16.64,21-27-2,43.80 
-17.5,28,26-2-0,92.90 ,20.43,16-12-0,57.10 
-18,25,25-0-0,100.00 ,16.36,7/16/2002,30.40 
-18.5,12,11/1/2000,91.70 ,16.75,4/8/2000,33.30 
-19,12,11/1/2000,91.70 ,20,6/6/2000,50.00 
-19.5,7,7-0-0,100.00 ,36.71,7-0-0,100.00 
-20,2,2-0-0,100.00 ,11.5,0-2-0,0.00 
