Movement,# Games,Opening_Fav_Record,Cover_PCT
-7,22,13-9-0,59.10
-6.5,25,10/15/2000,40.00
-6,45,18-25-2,41.90
-5.5,51,20-31-0,39.20
-5,68,35-32-1,52.20
-4.5,122,56-62-4,47.50
-4,166,68-95-3,41.70
-3.5,253,124-123-6,50.20
-3,382,188-191-3,49.60
-2.5,611,304-297-10,50.60
-2,1014,499-496-19,50.20
-1.5,1566,775-767-24,50.30
-1,2307,1080-1188-39,47.60
-0.5,2971,1512-1406-53,51.80
0,3550,1776-1723-51,50.80
0.5,2741,1356-1337-48,50.40
1,1768,877-855-36,50.60
1.5,989,491-491-7,50.00
2,718,359-340-19,51.40
2.5,502,218-273-11,44.40
3,377,194-176-7,52.40
3.5,302,143-153-6,48.30
4,221,93-123-5,43.10
4.5,163,82-77-4,51.60
5,128,68-60-0,53.10
5.5,87,46-38-3,54.80
6,58,26-32-0,44.80
6.5,49,22-27-0,44.90
7,35,15-19-1,44.10
