Team,Over_Record,Over,Under,Total_+/-
Washington,749-718-26,51.10 ,48.90 ,0.8
Utah,760-741-21,50.60 ,49.40 ,0.9
Toronto,790-736-12,51.80 ,48.20 ,0.7
San Antonio,798-764-20,51.10 ,48.90 ,0.6
Sacramento,726-696-28,51.10 ,49.00 ,0.8
Portland,761-743-19,50.60 ,49.40 ,0.6
Phoenix,754-742-16,50.40 ,49.60 ,0.2
Philadelphia,757-759-23,49.90 ,50.10 ,0
Orlando,704-796-23,46.90 ,53.10 ,-0.6
Okla City,770-778-23,49.70 ,50.30 ,0.3
New York,717-757-16,48.60 ,51.40 ,0.2
New Orleans,727-746-18,49.40 ,50.60 ,0.2
Minnesota,746-705-21,51.40 ,48.60 ,0.8
Milwaukee,785-745-18,51.30 ,48.70 ,0.6
Miami,805-821-14,49.50 ,50.50 ,-0.2
Memphis,734-783-19,48.40 ,51.60 ,-0.1
LA Lakers,775-801-13,49.20 ,50.80 ,-0.4
LA Clippers,764-764-27,50.00 ,50.00 ,0.3
Indiana,763-754-28,50.30 ,49.70 ,0.5
Houston,753-774-23,49.30 ,50.70 ,0.3
Golden State,770-811-21,48.70 ,51.30 ,0
Detroit,734-712-23,50.80 ,49.20 ,0.5
Denver,806-750-16,51.80 ,48.20 ,1.1
Dallas,770-773-18,49.90 ,50.10 ,0.4
Cleveland,779-779-17,50.00 ,50.00 ,0.5
Chicago,720-775-17,48.20 ,51.80 ,0.5
Charlotte,696-736-18,48.60 ,51.40 ,0
Brooklyn,725-751-19,49.10 ,50.90 ,0.5
Boston,821-848-16,49.20 ,50.80 ,0.3
Atlanta,781-764-17,50.60 ,49.50 ,0.8
