Team,Over_Record,Over,Under,Total_+/-
Detroit,164-132-3,55.4 ,44.6 ,+2.0
Green Bay,174-142-2,55.1 ,44.9 ,+1.9
New England,167-148-5,53.0 ,47.0 ,+0.6
Las Vegas,149-137-8,52.1 ,47.9 ,+1.3
Philadelphia,159-149-5,51.6 ,48.4 ,+1.3
Dallas,156-147-1,51.5 ,48.5 ,+0.7
New Orleans,156-149-2,51.2 ,48.9 ,+1.6
Arizona,151-145-6,51.0 ,49.0 ,+1.1
Tennessee,150-145-6,50.9 ,49.2 ,+0.6
Tampa Bay,153-148-2,50.8 ,49.2 ,+1.0
NY Jets,147-143-8,50.7 ,49.3 ,+0.5
Minnesota,150-147-6,50.5 ,49.5 ,+0.8
Jacksonville,148-146-5,50.3 ,49.7 ,+0.6
Carolina,149-147-4,50.3 ,49.7 ,+0.9
Seattle,155-153-5,50.3 ,49.7 ,+0.4
Indianapolis,152-151-4,50.2 ,49.8 ,+0.7
Denver,148-149-6,49.8 ,50.2 ,+0.7
San Francisco,152-156-4,49.4 ,50.7 ,+0.2
Buffalo,147-153-5,49.0 ,51.0 ,+0.7
Baltimore,150-157-9,48.9 ,51.1 ,+0.4
Washington,142-151-6,48.5 ,51.5 ,+0.6
LA Chargers,143-154-7,48.2 ,51.9 ,+0.4
Chicago,141-152-3,48.1 ,51.9 ,+0.4
Cleveland,138-152-5,47.6 ,52.4 ,+0.1
Cincinnati,140-156-8,47.3 ,52.7 ,+0.2
Miami,137-154-5,47.1 ,52.9 ,+0.3
Houston,141-160-5,46.8 ,53.2 ,+0.4
Kansas City,146-169-4,46.4 ,53.7 ,-0.3
Atlanta,138-162-2,46.0 ,54.0 ,+0.2
NY Giants,136-161-7,45.8 ,54.2 ,+0.1
Pittsburgh,139-167-5,45.4 ,54.6 ,+0.1
LA Rams,134-166-5,44.7 ,55.3 ,-1.1
