Closing_Spread,Game_Count,All_Team_Cover_Record,All_Team_Cover_PCT,All_Team_Push_PCT,Away_Team_Cover_Record,Away_Team_Cover_PCT,Home_Team_Cover_Record,Home_Team_Cover_PCT
23,1,1-0-0,100.00 ,0.00 ,1-0-0,100.00 ,--,--
22.5,1,0-1-0,0.00 ,0.00 ,0-1-0,0.00 ,--,--
22,1,1-0-0,100.00 ,0.00 ,1-0-0,100.00 ,--,--
21.5,1,0-1-0,0.00 ,0.00 ,0-1-0,0.00 ,--,--
21,2,1/1/2000,50.00 ,0.00 ,1/1/2000,50.00 ,--,--
20.5,3,1/2/2000,33.30 ,0.00 ,1/2/2000,33.30 ,--,--
20,2,2-0-0,100.00 ,0.00 ,2-0-0,100.00 ,--,--
19.5,7,0-7-0,0.00 ,0.00 ,0-7-0,0.00 ,--,--
19,12,6/6/2000,50.00 ,0.00 ,6/6/2000,50.00 ,--,--
18.5,12,8/4/2000,66.70 ,0.00 ,7/4/2000,63.60 ,--,--
18,25,16-7-2,69.60 ,8.00 ,15-7-2,68.20 ,1-0-0,100.00 
17.5,28,12/16/2000,42.90 ,0.00 ,9/16/2000,36.00 ,3-0-0,100.00
17,50,27-21-2,56.30 ,4.00 ,25-17-2,59.50 ,2/4/2000,33.30 
16.5,60,30-30-0,50.00 ,0.00 ,28-28-0,50.00 ,2/2/2000,50.00 
16,74,43-27-4,61.40 ,5.40 ,36-26-2,58.10 ,7/1/2002,87.50 
15.5,113,50-63-0,44.20 ,0.00 ,45-53-0,45.90 ,5/9/2000,35.70 
15,142,63-74-5,46.00 ,3.50 ,55-67-5,45.10 ,8/7/2000,53.30 
14.5,158,93-65-0,58.90 ,0.00 ,86-56-0,60.60 ,6/9/2000,40.00 
14,226,109-104-13,51.20 ,5.80 ,88-92-13,48.90 ,20-11-0,64.50 
13.5,288,151-137-0,52.40 ,0.00 ,134-116-0,53.60 ,17-20-0,46.00 
13,314,154-149-11,50.80 ,3.50 ,130-130-9,50.00 ,23-17-2,57.50 
12.5,324,159-165-0,49.10 ,0.00 ,138-136-0,50.40 ,20-28-0,41.70 
12,387,205-169-13,54.80 ,3.40 ,178-152-8,53.90 ,27-17-5,61.40 
11.5,497,268-229-0,53.90 ,0.00 ,232-204-0,53.20 ,35-25-0,58.30 
