Team,Over_Record,Over_PCT,Under_PCT,Total_+/-
New England,43-31-1,58.10 ,41.90 ,1.8
Green Bay,57-42-1,57.60 ,42.40 ,3
Baltimore,56-43-5,56.60 ,43.40 ,1.6
Philadelphia,57-44-1,56.40 ,43.60 ,1.8
Carolina,93-79-4,54.10 ,45.90 ,1.5
Tennessee,85-73-3,53.80 ,46.20 ,1.5
Detroit,91-81-3,52.90 ,47.10 ,1.1
Seattle,69-62-3,52.70 ,47.30 ,0.5
Las Vegas,109-98-4,52.70 ,47.30 ,1.3
Indianapolis,71-64-3,52.60 ,47.40 ,1.7
Tampa Bay,88-80-1,52.40 ,47.60 ,1.5
Minnesota,69-66-2,51.10 ,48.90 ,1.5
NY Jets,92-90-4,50.60 ,49.50 ,0.4
Jacksonville,107-105-2,50.50 ,49.50 ,0.7
Arizona,89-88-4,50.30 ,49.70 ,1
Washington,100-99-3,50.30 ,49.80 ,1.1
Houston,82-82-3,50.00 ,50.00 ,0.9
Kansas City,57-59-4,49.10 ,50.90 ,0.8
LA Chargers,56-59-2,48.70 ,51.30 ,0.3
Miami,86-92-3,48.30 ,51.70 ,1.1
LA Rams,84-90-3,48.30 ,51.70 ,-0.4
San Francisco,65-70-1,48.20 ,51.90 ,0.2
Cleveland,89-100-4,47.10 ,52.90 ,0
New Orleans,48-54-0,47.10 ,52.90 ,0.2
Dallas,51-58-0,46.80 ,53.20 ,-1.6
Denver,64-73-2,46.70 ,53.30 ,0.2
Buffalo,69-82-2,45.70 ,54.30 ,0.6
Chicago,81-102-1,44.30 ,55.70 ,-0.8
Cincinnati,63-84-5,42.90 ,57.10 ,-0.9
Atlanta,60-80-0,42.90 ,57.10 ,-0.3
NY Giants,76-103-4,42.50 ,57.50 ,-0.5
Pittsburgh,44-62-1,41.50 ,58.50 ,-0.5
