Team,Win-Loss_Record,Win_PCT,MOV,Run_Line_+/-
LA Dodgers,23-10-0,69.70 ,1.3,0.2
NY Mets,22-11-0,66.70 ,1.8,1
San Diego,21-11-0,65.60 ,1.1,1
Seattle,20-12-0,62.50 ,1.1,0.7
Chi Cubs,21-13-0,61.80 ,1.9,1.9
Detroit,21-13-0,61.80 ,1.5,1.4
SF Giants,21-13-0,61.80 ,0.9,0.4
Philadelphia,19-14-0,57.60 ,0.3,-0.5
NY Yankees,19-14-0,57.60 ,1.6,0.5
Cleveland,19-14-0,57.60 ,-0.7,-0.3
Houston,17-15-0,53.10 ,0.4,-0.3
Kansas City,18-16-0,52.90 ,-0.1,0.1
Cincinnati,18-16-0,52.90 ,1.1,1.1
Sacramento,18-16-0,52.90 ,-0.7,-0.3
Arizona,17-16-0,51.50 ,0.1,-0.5
Boston,18-17-0,51.40 ,0.5,-0.2
Toronto,16-17-0,48.50 ,-1,-0.5
Milwaukee,16-18-0,47.10 ,0.1,0.1
Texas,16-18-0,47.10 ,-0.7,-0.6
Tampa Bay,15-18-0,45.50 ,0,-0.2
Washington,15-19-0,44.10 ,-0.9,0
Atlanta,14-18-0,43.80 ,-0.2,-0.9
St. Louis,14-19-0,42.40 ,-0.1,0.6
Minnesota,14-20-0,41.20 ,0,-0.4
LA Angels,13-19-0,40.60 ,-1.6,-0.8
Miami,13-19-0,40.60 ,-1.7,-0.5
Baltimore,13-19-0,40.60 ,-1.6,-1.7
Pittsburgh,12/22/2000,35.30 ,-1.3,-0.9
Chi Sox,9/24/2000,27.30 ,-0.8,0.7
Colorado,6/27/2000,18.20 ,-2.5,-1.1
