Closing_Spread,Game_Count,Away_Team_Record,Away_Team_Win_PCT,Away_Team_Average_MOV,Home_Team_Record,Home_Team_Win_PCT,Home_Team_Average_MOV
23,1,0-1-0,0.00 ,-11,--,--,
22.5,1,0-1-0,0.00 ,-26,--,--,
22,1,0-1-0,0.00 ,-12,--,--,
21.5,1,0-1-0,0.00 ,-26,--,--,
21,2,0-2-0,0.00 ,-25,--,--,
20.5,3,0-3-0,0.00 ,-29,--,--,
20,2,0-2-0,0.00 ,-11.5,--,--,
19.5,7,0-7-0,0.00 ,-36.71,--,--,
19,12,1/11/2000,8.30 ,-20,--,--,
18.5,12,0-11-0,0.00 ,-18.55,--,--,
18,25,0-24-0,0.00 ,-16.46,0-1-0,0.00 ,-14
17.5,28,1/24/2000,4.00 ,-22.6,1/2/2000,33.30 ,-2.33
17,50,2-42-0,4.50 ,-15.61,0-6-0,0.00 ,-24.17
16.5,60,3-53-0,5.40 ,-17.14,0-4-0,0.00 ,-16.5
16,74,4-60-0,6.30 ,-15.52,1/9/2000,10.00 ,-10.7
15.5,113,5-93-0,5.10 ,-18.88,0-14-0,0.00 ,-17.36
15,142,6-121-0,4.70 ,-17.33,0-15-0,0.00 ,-17.07
14.5,158,11-131-0,7.70 ,-12.54,2/13/2000,13.30 ,-18.07
14,226,15-178-0,7.80 ,-14.91,4/27/2000,12.90 ,-12.26
13.5,288,28-222-0,11.20 ,-13.78,3-34-0,8.10 ,-14.16
13,314,25-244-0,9.30 ,-13.35,6-36-0,14.30 ,-9.6
12.5,324,30-244-0,10.90 ,-12.38,4-44-0,8.30 ,-13.44
12,387,53-285-0,15.70 ,-11.3,8-41-0,16.30 ,-11.43
11.5,497,65-371-0,14.90 ,-11.03,12-48-0,20.00 ,-9.32
11,535,57-386-0,12.90 ,-11.48,18-73-0,19.80 ,-10.57
10.5,597,69-429-0,13.90 ,-11.12,14-82-0,14.60 ,-13.81
10,676,98-414-0,19.10 ,-9.24,34-130-0,20.70 ,-11.74
9.5,822,134-506-0,20.90 ,-9.35,34-140-0,19.50 ,-10.06
9,878,125-545-0,18.70 ,-9.6,35-170-0,17.10 ,-9.74
8.5,983,160-578-0,21.70 ,-8.6,50-185-0,21.30 ,-8.68
8,1016,191-571-0,25.10 ,-7.6,58-191-0,23.30 ,-7.91
7.5,1232,240-652-0,26.90 ,-7.16,83-245-0,25.30 ,-7.09
7,1215,239-632-0,27.40 ,-6.73,99-239-0,29.30 ,-6.19
6.5,1453,288-706-0,29.00 ,-5.98,127-319-0,28.50 ,-5.78
6,1385,275-673-0,29.00 ,-5.72,126-303-0,29.40 ,-4.95
5.5,1457,337-614-0,35.40 ,-4.39,153-336-0,31.30 ,-4.99
5,1477,334-611-0,35.30 ,-4.52,162-353-0,31.50 ,-4.96
4.5,1642,343-682-0,33.50 ,-4.4,222-382-0,36.80 ,-3.5
4,1480,373-527-0,41.40 ,-2.85,229-341-0,40.20 ,-3.19
3.5,1576,367-537-0,40.60 ,-2.56,259-392-0,39.80 ,-2.87
3,1517,392-503-0,43.80 ,-1.97,257-358-0,41.80 ,-2.06
2.5,1555,384-477-0,44.60 ,-1.67,290-392-0,42.50 ,-1.58
2,1481,362-407-0,47.10 ,-1.27,316-384-0,45.10 ,-1.16
1.5,1185,264-332-0,44.30 ,-1.37,281-298-0,48.50 ,-1.52
1,1236,315-302-0,51.10 ,-0.13,289-325-0,47.10 ,-0.57
0,314,77-80-0,49.00 ,-0.41,80-77-0,51.00 ,0.41
-1,1236,325-289-0,52.90 ,0.57,302-315-0,48.90 ,0.13
-1.5,1185,298-281-0,51.50 ,1.52,332-264-0,55.70 ,1.37
-2,1481,384-316-0,54.90 ,1.16,407-362-0,52.90 ,1.27
-2.5,1555,392-290-0,57.50 ,1.58,477-384-0,55.40 ,1.67
-3,1517,358-257-0,58.20 ,2.06,503-392-0,56.20 ,1.97
-3.5,1576,392-259-0,60.20 ,2.87,537-367-0,59.40 ,2.56
-4,1480,341-229-0,59.80 ,3.19,527-373-0,58.60 ,2.85
-4.5,1642,382-222-0,63.20 ,3.5,682-343-0,66.50 ,4.4
-5,1477,353-162-0,68.50 ,4.96,611-334-0,64.70 ,4.52
-5.5,1457,336-153-0,68.70 ,4.99,614-337-0,64.60 ,4.39
-6,1385,303-126-0,70.60 ,4.95,673-275-0,71.00 ,5.72
-6.5,1453,319-127-0,71.50 ,5.78,706-288-0,71.00 ,5.98
-7,1215,239-99-0,70.70 ,6.19,632-239-0,72.60 ,6.73
-7.5,1232,245-83-0,74.70 ,7.09,652-240-0,73.10 ,7.16
-8,1016,191-58-0,76.70 ,7.91,571-191-0,74.90 ,7.6
-8.5,983,185-50-0,78.70 ,8.68,578-160-0,78.30 ,8.6
-9,878,170-35-0,82.90 ,9.74,545-125-0,81.30 ,9.6
-9.5,822,140-34-0,80.50 ,10.06,506-134-0,79.10 ,9.35
-10,676,130-34-0,79.30 ,11.74,414-98-0,80.90 ,9.24
-10.5,597,82-14-0,85.40 ,13.81,429-69-0,86.10 ,11.12
-11,535,73-18-0,80.20 ,10.57,386-57-0,87.10 ,11.48
-11.5,497,48-12-0,80.00 ,9.32,371-65-0,85.10 ,11.03
-12,387,41-8-0,83.70 ,11.43,285-53-0,84.30 ,11.3
-12.5,324,44-4-0,91.70 ,13.44,244-30-0,89.10 ,12.38
-13,314,36-6-0,85.70 ,9.6,244-25-0,90.70 ,13.35
-13.5,288,34-3-0,91.90 ,14.16,222-28-0,88.80 ,13.78
-14,226,27-4-0,87.10 ,12.26,178-15-0,92.20 ,14.91
-14.5,158,13-2-0,86.70 ,18.07,131-11-0,92.30 ,12.54
-15,142,15-0-0,100.00 ,17.07,121-6-0,95.30 ,17.33
-15.5,113,14-0-0,100.00 ,17.36,93-5-0,94.90 ,18.88
-16,74,9/1/2000,90.00 ,10.7,60-4-0,93.80 ,15.52
-16.5,60,4-0-0,100.00 ,16.5,53-3-0,94.60 ,17.14
-17,50,6-0-0,100.00 ,24.17,42-2-0,95.50 ,15.61
-17.5,28,2/1/2000,66.70 ,2.33,24-1-0,96.00 ,22.6
-18,25,1-0-0,100.00 ,14,24-0-0,100.00 ,16.46
-18.5,12,--,--,,11-0-0,100.00 ,18.55
-19,12,--,--,,11/1/2000,91.70 ,20
-19.5,7,--,--,,7-0-0,100.00 ,36.71
-20,2,--,--,,2-0-0,100.00 ,11.5
-20.5,3,--,--,,3-0-0,100.00 ,29
-21,2,--,--,,2-0-0,100.00 ,25
-21.5,1,--,--,,1-0-0,100.00 ,26
-22,1,--,--,,1-0-0,100.00 ,12
-22.5,1,--,--,,1-0-0,100.00 ,26
-23,1,--,--,,1-0-0,100.00 ,11
